RBP	variable	value
RBFOX2	hsa-let-7a-1	0.208333333333333
KNOP1	hsa-let-7a-1	0.480158169750035
DHX37	hsa-let-7a-1	0.125786163522013
DDX21	hsa-let-7a-1	1.39959564351199
LRPPRC	hsa-let-7a-1	2.17296380007131
RBM45	hsa-let-7a-1	0
RBMS1	hsa-let-7a-1	0
RBMS2	hsa-let-7a-1	0
HARS2	hsa-let-7a-1	0
SUGP2	hsa-let-7a-1	0.193798449612403
MATR3	hsa-let-7a-1	1.21818450492966
YBX3	hsa-let-7a-1	1.25445957201211
YBX1	hsa-let-7a-1	1.82839905331498
YBX2	hsa-let-7a-1	0.466853408029879
C1QBP	hsa-let-7a-1	2.60727295710231
PTBP1	hsa-let-7a-1	1.19843839124718
PTBP3	hsa-let-7a-1	0
FAM98A	hsa-let-7a-1	1.19008316788448
FAM98B	hsa-let-7a-1	0.925925925925926
MTERF3	hsa-let-7a-1	0
PTCD3	hsa-let-7a-1	0
TRIM56	hsa-let-7a-1	0
PDCD11	hsa-let-7a-1	1.08120403365735
UPF1	hsa-let-7a-1	1.68349833807943
NOL6	hsa-let-7a-1	1.32061923583663
ERAL1	hsa-let-7a-1	0.345622119815668
UTP20	hsa-let-7a-1	1.18671960026277
QKI	hsa-let-7a-1	0
PUF60	hsa-let-7a-1	0
LSM10	hsa-let-7a-1	8.33333333333333
LSM11	hsa-let-7a-1	16.6666666666667
CASC3	hsa-let-7a-1	0
NONO	hsa-let-7a-1	1.36570909649337
SFPQ	hsa-let-7a-1	1.3099588713792
ZNF106	hsa-let-7a-1	0
DDX49	hsa-let-7a-1	0
CELF2	hsa-let-7a-1	0
CELF1	hsa-let-7a-1	0
PIP5K1A	hsa-let-7a-1	0
EIF2AK2	hsa-let-7a-1	0.175933400810058
LARP6	hsa-let-7a-1	0
ZC3H10	hsa-let-7a-1	0
C9ORF114	hsa-let-7a-1	1.3448275862069
SF1	hsa-let-7a-1	0
PUM1	hsa-let-7a-1	4.65848193972666
PUM2	hsa-let-7a-1	4.67718073144751
ELAC1	hsa-let-7a-1	0
IGF2BP1	hsa-let-7a-1	1.23155297656462
IGF2BP2	hsa-let-7a-1	0.840761256430958
IGF2BP3	hsa-let-7a-1	1.67959626402614
PGAM5	hsa-let-7a-1	0.289855072463768
CSTF1	hsa-let-7a-1	0
LCORL	hsa-let-7a-1	0
NOL4L	hsa-let-7a-1	0
LIN28A	hsa-let-7a-2	2.7027027027027
LIN28B	hsa-let-7a-2	7.43243411392878
